node1,node2,flow
1,10,-0.610734386954371
1,14,-1.02074793124805
1,22,-1.01637440032862
1,25,0.124722457801696
1,34,-0.730487221224619
1,40,-0.647824776419576
1,41,-0.932542575655557
1,43,-0.598004897451875
1,46,-0.520771573142992
1,47,-0.784592750096679
1,51,-0.567741089472265
1,55,-0.105528612792402
1,60,-1.054541624598
1,61,-0.505776756679227
1,64,-0.430691000531676
1,71,-1.26959057894029
1,76,-1.24425976994267
1,83,-0.0393257449826035
1,86,-0.719825955138248
1,98,-0.165915273990405
1,104,-1.00740581715453
1,113,-0.399119572663009
1,114,-0.760932944077964
1,119,-0.661425429845877
1,121,-0.458662875241665
1,124,-0.722897627271716
2,6,0.453379687396676
2,8,0.334124142543626
2,12,-0.000112137450198
2,17,-0.281327462781304
2,64,0.556685888835949
2,68,-0.0715745120999237
2,70,0.628720053078683
2,74,0.222267361979986
2,80,0.903800662938615
2,85,0.39146427842989
2,89,-0.175780562151745
2,92,0.471889202531746
2,106,1.02971996946698
2,108,-0.321832265165841
2,111,0.177994578292319
2,112,0.796013874244391
2,115,0.33511475392337
2,122,0.72309707925156
3,5,-0.16994456779803
3,9,-0.05926673950343
3,10,0.0137235358728249
3,12,-0.244168884431096
3,13,-0.13908446232446
3,16,0.368926832212783
3,22,-0.393339482214573
3,27,-0.0058668851212555
3,28,0.116099230269899
3,36,-0.0376250344730542
3,50,-0.316603126473052
3,53,-0.187907834252778
3,55,0.445068854012581
3,60,-0.398262318626789
3,62,-0.111167826823467
3,64,0.191929152937524
3,70,0.249271009015358
3,71,-0.619653043829341
3,76,-0.632966118889791
3,83,0.56217306518362
3,84,-0.0014509997636756
3,92,0.126153172043064
3,102,0.118373410858151
3,107,0.0612151496125287
3,108,-0.541792582288884
3,113,0.17245859842899
3,118,-0.0991069267651283
3,123,-0.0163040745728121
3,124,-0.0676167552568487
3,125,0.031997473551919
4,9,0.203066960394501
4,10,0.321588579064725
4,11,0.538978631972738
4,14,-0.131170001619826
4,15,0.73069043116857
4,30,1.03223032912843
4,37,0.233535842135154
4,49,0.84090865941088
4,55,0.798689023315043
4,63,0.351624482446794
4,68,-0.0856939342148151
4,100,0.383418314091775
4,103,0.0413315108534939
4,111,0.163305849378582
4,114,0.0995303105932244
4,116,0.533175727339424
4,124,0.242707248126212
4,125,0.350050916976107
5,6,0.299011546349351
5,7,-0.0839374618832899
5,8,0.182687272783073
5,26,-0.201295211634474
5,43,0.217755086103419
5,46,0.309007323602331
5,47,-0.0060768776831868
5,50,-0.16661753407601
5,52,0.453266366660193
5,53,-0.0216112621875266
5,56,0.0538137251800865
5,57,-0.324998435839787
5,69,0.256565892122573
5,70,0.454221514988107
5,79,-0.266836658172643
5,83,0.793774690428747
5,88,0.371435186728665
5,89,-0.271212717741488
5,91,-0.184668313595144
