node1,node2,flow
1,2,-0.0001646960904368
1,3,-0.0210450723146474
1,4,-0.0098775599252851
1,5,-0.0262255001102226
1,8,0.0066299631056417
1,12,-0.0025529830280085
1,13,0.0023887850968646
1,14,-0.0106537292522554
1,15,-0.0093699241180346
1,16,-0.0141931626205671
1,21,-0.0059288706751016
1,22,0.0007617713230534
1,27,0.0056923085093743
1,31,-0.0241089646823126
1,38,-0.0410080472936422
1,41,-0.0127621074745436
1,45,0.0001429732315013
1,46,-0.023663509324902
1,47,-0.0169857303868771
1,48,0.001164376287623
1,55,-0.0137360377732092
1,60,-0.0060624416842041
1,62,-0.0069562103165458
2,3,0.0076348982310095
2,5,0.0061701874681791
2,6,0.0172675761544441
2,13,0.0164261749362342
2,15,-0.0014629647367864
2,20,0.004641054853542
2,21,0.0024221742070826
2,23,0.0123327247116129
2,29,0.0162478194368916
2,31,-0.0028622044916256
2,32,0.0131768666788586
2,35,0.0083623524236848
2,37,0.0064824207416443
2,39,0.0050025695716279
2,43,-0.0083863491103687
2,51,0.0133201891520877
2,55,-0.0091191003772429
2,56,0.0088617426299941
2,60,0.0045365847094509
2,64,0.0049252283512835
2,65,0.000330574897311
3,4,0.0263945374038861
3,5,-0.0106049023275924
3,11,-0.0139306468474276
3,12,0.0075377719499196
3,13,0.034566663523643
3,14,0.0106445950924263
3,16,-0.0011905635491871
3,17,0.0211364493336384
3,21,0.0148105459977827
3,22,0.0300588846901205
3,23,0.0252810399593657
3,25,0.0003386117089644
3,29,0.0031357344282455
3,32,0.0204155096416529
3,39,0.0196628434030899
3,41,-0.0121310329389089
3,43,-0.0053459913871945
3,50,-0.0015736780180472
3,51,0.0612284974166118
3,52,0.0628178880825293
3,55,-0.0218158385636254
3,56,0.0021885156737451
3,58,-0.0221090335568131
3,59,0.0193685930550995
3,61,0.0039504219447502
3,62,0.0236586973184183
3,63,-0.0125850349869538
3,64,0.008689866437297
3,65,0.0159505868911893
4,5,-0.0380092391010673
4,6,0.0105548931327708
4,7,-0.0057429742991362
4,8,0.0210163359141979
4,10,-0.0260500830416363
4,11,-0.0315645721364781
4,12,-0.0024586756136897
4,15,-0.0226210794566652
4,16,-0.0250450929719858
4,17,0.015429133211384
4,18,0.0058756499525973
4,20,-0.0033668671415688
4,21,-0.0005841974304217
4,26,-0.0237948739617093
4,27,0.0134109536155655
4,35,-0.002483805706104
4,37,0.0044061421143225
4,41,-0.0273610413122803
4,42,0.023767051007482
4,43,-0.0222235177138359
4,48,0.0040860119441359
4,54,-0.0066197585603514
4,56,-0.01604448513188
4,57,0.0007952925682249
4,59,0.0040380328194756
4,60,0.0063747344607823
4,61,-0.0196629443464078
4,64,-0.0008915353683776
5,7,0.0085949036863856
5,8,0.0484165078241834
5,11,-0.0075025089094661
5,12,0.0115936661063055
5,16,0.0079729264484134
5,17,0.0238807340515829
5,18,0.0361137782670862
5,19,0.0371719538920902
5,23,0.0308971692980307
5,25,0.0113841653541496
5,34,0.0407893273414725
5,35,0.025621874509269
5,36,0.0031447086086565
5,38,-0.0459061551660869
5,39,0.0231030415079573
5,40,0.0277165142091215
5,42,0.0520930092000556
5,43,0.0015247966519191
5,46,-0.0430211768305301
5,47,0.0198730709286813
5,48,0.0152137094146847
5,50,0.0082085987909485
5,53,-0.0034612154513068
5,54,0.0242468741277782
5,57,0.014068853319065
5,60,0.0333096107844364
5,61,0.0139280292540516
5,65,0.0218036281315167
6,10,-0.0274727253170877
6,12,-0.0097589576927514
6,13,0.0032974083291892
6,18,-0.0052729108489233
6,20,-0.0120075052230671
6,22,-0.0002374337012243
6,24,0.003386869133505
6,25,-0.0341729817585805
6,29,-0.0283351462470606
6,31,-0.0280364678895601
6,34,0.0066828815637076
6,37,-0.004670070136102
6,40,-0.0145746233093272
6,41,-0.0312225197233028
6,42,0.0114621043348152
6,44,0.0222328205346184
6,49,-0.0269763361127382
6,50,-0.0326134873080187
6,52,0.0268168020831234
6,56,-0.0217949776241888
6,58,-0.0499799154564263
6,60,-0.0044274982539526
6,62,-0.008565758335694
6,63,-0.0369555179332401
6,64,-0.0073072861920587
6,65,-0.0064316316130542
7,8,0.017687929600067
7,9,-0.0045371156043463
7,11,-0.0067396231810077
7,14,-0.0008675733092475
7,15,-0.0009154401550228
7,16,0.0014273716038542
7,18,0.0047932742442507
7,19,0.0103915775053547
7,20,0.0036745581916229
7,22,0.0130356268425351
7,25,-0.0082298847638511
7,33,-0.0166886005595987
7,36,-0.0011533140248079
7,40,5.83075897467615e-06
7,42,0.0165420817335104
7,45,0.0146949484923195
7,46,-0.0138773533818943
7,50,-0.0048362973832079
7,55,-0.0066774053176014
7,59,0.0090170491130998
7,64,0.0095483100120492
8,10,-0.0245451240823803
8,14,-0.0205868559629155
8,16,-0.0349095982513644
8,17,0.0017481039252917
8,19,-0.0137899831161501
8,23,-0.0022335428777662
8,32,-0.0042080967986634
8,35,-0.018794103721228
8,40,-0.0238248820462256
8,42,0.0006649023387945
8,44,0.0120013515852147
8,45,-0.0091160058002732
8,46,-0.0514346044901666
8,49,-0.0299022696131827
8,51,0.0087342643473379
8,53,-0.024364326792116
8,57,-0.0087289600024962
8,58,-0.0537998367258644
8,62,-0.0176413727259581
8,63,-0.0392178962709425
8,64,-0.0103367457561165
8,65,-0.0129119736284183
9,10,-0.0059640722452839
9,13,0.0291228338372283
9,14,0.0084556126377506
9,16,0.0088575070221708
9,19,0.024444669904888
9,20,0.0134039618469969
9,22,0.0263037483149078
9,24,0.0200937785498552
9,25,0.0045029332518386
9,33,-0.0197195053032638
9,34,0.0272920246163582
9,37,0.0175116601426617
9,39,0.0177338801348399
9,40,0.0144097709748124
9,41,-0.0006275798345972
9,47,0.0104175338809618
9,48,0.0106204091212175
9,49,-0.0008598010125165
9,57,0.0134960852019172
9,58,-0.0100327314523291
9,59,0.017855732647289
9,61,0.0046428891281798
9,62,0.02059328029508
9,63,0.0018378339475255
9,65,0.0127967672724984
10,11,0.0080500048057795
10,12,0.0026131816179049
10,14,0.0038852427971161
10,17,0.0003964520957075
10,19,0.0249150849312962
10,20,0.0122854674044504
10,21,0.0086954348399301
10,23,0.0171684666756156
10,34,0.018946356899491
10,44,0.0285952866853106
10,46,-0.0026165329164418
10,52,0.0272574164310302
10,56,0.0178154220635373
10,58,0.0082317362679444
10,59,0.0139474200017128
10,60,0.0121809972603593
10,61,0.0103848408109349
10,65,0.0051663168613137
11,12,0.010500347786774
11,16,0.0147232079456171
11,18,0.0272371111545356
11,20,0.0184801513011806
11,21,0.017414857812639
11,23,0.0270343744656363
11,25,0.0123411508727398
11,26,0.0010929548906343
11,29,0.0192692182819326
11,30,0.0433501914523668
11,31,0.0117743546133361
11,36,0.0058608622589221
11,37,0.0220922013393052
11,38,-0.0283739217811146
11,40,0.0216980625337431
11,44,0.0473451938903179
11,45,0.0404708284375975
11,47,0.0175974707678515
11,49,0.001711863228013
11,50,0.0116264118596505
11,52,0.053739642042701
11,64,0.0134239297489368
12,13,0.01090191601058
12,19,0.006796639572313
12,21,-0.0002583978206313
12,22,0.0092749022367688
12,24,0.0090633768500198
12,25,-0.0113684708715993
12,29,0.0003663877154378
12,30,0.020129097521277
12,37,0.0039363045036812
12,38,-0.0311655600493956
12,40,-0.003589107174067
12,46,-0.0179930364704318
12,49,-0.0078536692096873
12,50,-0.0081205960686543
12,51,0.0134608241245791
12,59,0.0049013660245624
13,18,-0.0088084197888336
13,19,-0.0077175764422748
13,20,-0.0141311772375224
13,22,-0.003184220493483
13,23,0.0017349436629199
13,26,-0.0315183736480687
13,28,-0.0205618691051084
13,30,0.0180507606496504
13,35,-0.0136438224439535
13,36,-0.0231715419187083
13,40,-0.0176455389757082
13,43,-0.0310249059894902
13,44,0.0183127897126875
13,45,-0.0020426362535371
13,46,-0.0523294284324488
13,47,-0.0249159939232831
13,51,0.0176679472889012
13,57,-0.006349421995134
13,58,-0.0501655404137194
13,62,-0.0115511801731575
13,63,-0.0364875479762846
14,16,-0.006017843224768
14,18,0.0067226709927255
14,19,0.0100875755040716
14,20,0.003292198218349
14,21,0.0045659134030634
14,22,0.013599924289496
14,23,0.0171882259988115
14,24,0.0157918089199488
14,25,-0.0133109837296201
14,26,-0.0118500985667643
14,28,-0.0019435676235126
14,32,0.015870471630073
14,43,-0.0121536986518211
14,46,-0.0251642065622086
