Dataset ID,Test Name,Parameters,P-Value,Alpha,Conclusion
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample1,KS Test,,0.5549337475806759,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.7152847152847153,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 1),"K_marg=8, K_joint=9, n_samples=450",0.0209790209790209,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample1,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.9000999000999002,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample1,Bivariate Equivalence Test,"K=8, #class1=124, #class2=168",0.4025974025974026,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample2,KS Test,,0.6428465540912647,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.5824175824175825,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.3186813186813186,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample2,Independence Test (Color: 2),"K_marg=8, K_joint=9, n_samples=448",0.0009990009990009,0.0055555555555555,Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample2,Bivariate Equivalence Test,"K=9, #class1=124, #class2=168",0.3516483516483517,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample3,KS Test,,0.2012511623129353,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",1.0,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.945054945054945,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample3,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.974025974025974,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample3,Bivariate Equivalence Test,"K=8, #class1=124, #class2=168",0.6973026973026973,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample4,KS Test,,0.9494787678263376,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.7402597402597403,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.6123876123876124,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample4,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=448",0.938061938061938,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample4,Bivariate Equivalence Test,"K=13, #class1=124, #class2=168",0.8421578421578422,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample5,KS Test,,0.1401471203743398,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample5,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=450",0.982017982017982,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D2_W0.5_Neg-1kNodes_Sample5,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=450",0.5554445554445554,0.0055555555555555,Fail to Reject H0
