Dataset ID,Test Name,Parameters,P-Value,Alpha,Conclusion
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample1,KS Test,,0.5844297921091138,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample1,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=1798",0.6173826173826173,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample1,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=1796",0.5524475524475524,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample1,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=1790",0.7962037962037962,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample1,Bivariate Equivalence Test,"K=8, #class1=524, #class2=668",0.908091908091908,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample2,KS Test,,0.380544884108237,0.0166666666666666,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample2,Independence Test (Color: 0),"K_marg=8, K_joint=8, n_samples=1798",0.8741258741258742,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample2,Independence Test (Color: 1),"K_marg=8, K_joint=8, n_samples=1796",0.7852147852147852,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample2,Independence Test (Color: 2),"K_marg=8, K_joint=8, n_samples=1790",0.0109890109890109,0.0055555555555555,Fail to Reject H0
SmallWorld-Beta0.7_K13-Rho0.5_D1_W0.5_Neg-4kNodes_Sample2,Bivariate Equivalence Test,"K=8, #class1=524, #class2=668",0.4945054945054945,0.0166666666666666,Fail to Reject H0
